item,status,evidence,next_action
BDD reversible synthesis,pass,role=large-function symbolic representation baseline; required=wille2009bdd; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.,"Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
ROS and back-end-aware oracle synthesis,pass,"role=resource-aware LUT/oracle synthesis and published small-function counterpoint boundary; required=meuli2020ros,stgBenchmark,yu2025backend; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.","Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
Recent oracle-resource and Boolean-encoding work,pass,"role=recent adjacent oracle-resource context and non-baseline boundary; required=li2026oracle,assaad2026esop,dutta2025tdepth; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.","Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
XAG and multiplicative complexity,pass,"role=non-Clifford proxy and logic-network comparison; required=meuli2019multiplicative,meuli2022xag; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.","Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
Logic and reversible toolchains,pass,"role=external synthesis and reversible-toolchain probes; required=brayton2010abc,soeken2018epfl,soeken2012revkit,revkit,mockturtle,caterpillar,cirkit; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.","Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
SSHR geometric synthesis,pass,role=CNOT-oriented small-function baseline; required=zheng2025sshr; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.,"Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
Learning-guided circuit synthesis,pass,"role=neural/RL/MCTS positioning boundary; required=tsaras2024shortcircuit,wang2023nestedmcts,weiden2023qseed,furrutter2024diffusion,rietsch2024unitary,valcarce2025dynamic,kremer2025nonclifford,dubal2025paulinetwork,riu2025rlzx,theissinger2026beyondrl,zhou2022qctmcts,machiya2026monteq; missing_citations=none; missing_related_table=none; missing_bib=none; missing_locator=none; anchor_present=True.","Restore the citation in the related-work table, add the BibTeX entry, or add a DOI/URL/eprint locator."
All cited keys resolve,pass,cited_keys=30; unresolved=none.,Add missing BibTeX entries or correct citation keys.
All bibliography keys are cited,pass,bib_keys=30; unused=none.,Remove unused BibTeX entries or cite them in the manuscript if they support a claim.
Bibliography locator coverage,pass,bib_entries=30; missing_locator=none.,"Add DOI, URL, eprint, or howpublished fields to every reference entry."
Bibliography included in both manuscripts,pass,"bibliography_commands={'author': True, 'anonymous': True}.",Restore the references bibliography command in both author and anonymous TeX sources.
