baseline_CNOT,baseline_T,baseline_depth,baseline_peak_ancilla,baseline_score,baseline_time_s,name,relative_CNOT_pct,relative_T_pct,relative_depth_pct,relative_peak_ancilla_pct,relative_score_pct,relative_time_s_pct,target_CNOT,target_T,target_depth,target_peak_ancilla,target_score,target_time_s
59.0,28.0,71.0,1.0,33.855000000000004,0.17478108406066895,anf_n14_0,0.0,0.0,0.0,0.0,0.0,34.43288803100586,59.0,28.0,71.0,1.0,33.855000000000004,0.5191099643707275
21.0,12.0,21.0,0.0,13.245,0.17006516456604004,anf_n14_1,0.0,0.0,0.0,0.0,0.0,33.37690830230713,21.0,12.0,21.0,0.0,13.245,0.5038342475891113
15991.0,9408.0,15991.0,5.0,10358.474999999999,35.72237992286682,anf_n14_10,-2.0323932211869176,-1.8282312925170068,-2.0323932211869176,20.0,-1.8271511974494261,264.1773093747702,15666.0,9236.0,15666.0,6.0,10169.21,130.0928020477295
3988.0,2264.0,3989.0,4.0,2506.905,16.989484071731567,anf_n14_11,-1.5045135406218655,-1.76678445229682,-1.5041363750313361,0.0,-1.7383985432236313,344.50527070515284,3928.0,2224.0,3929.0,4.0,2463.325,75.51915216445923
16363.0,9648.0,16363.0,5.0,10620.275,37.77715992927551,anf_n14_2,-1.5033917985699443,-1.285240464344942,-1.5033917985699443,20.0,-1.2857482503984057,262.1650370255348,16117.0,9524.0,16117.0,6.0,10483.725,136.81566524505615
2709.0,1536.0,2709.0,4.0,1703.465,9.666944026947021,anf_n14_3,-1.1074197120708749,-1.0416666666666665,-1.1074197120708749,0.0,-1.0419938184817417,314.61355274053227,2679.0,1520.0,2679.0,4.0,1685.715,40.08046007156372
6358.0,3628.0,6358.0,5.0,4012.4700000000003,36.08505177497864,anf_n14_4,-0.8965083359547028,-1.1025358324145533,-0.8965083359547028,0.0,-1.0817526361567862,352.4186111264562,6301.0,3588.0,6301.0,5.0,3969.065,163.25549006462097
8798.0,5136.0,8799.0,5.0,5663.295,69.5031259059906,anf_n14_5,-0.8979313480336439,-1.7133956386292832,-0.8978292987839528,0.0,-1.6364148433023404,331.63580799418867,8719.0,5048.0,8720.0,5.0,5570.620000000001,300.00037908554077
6240.0,3520.0,6240.0,4.0,3895.58,35.05674195289612,anf_n14_6,-2.1314102564102564,-0.9090909090909091,-2.1314102564102564,25.0,-0.9740526442788934,345.12588538550955,6107.0,3488.0,6107.0,5.0,3857.635,156.0466330051422
5660.0,3224.0,5660.0,4.0,3565.34,29.58635711669922,anf_n14_7,-0.9363957597173145,-0.7444168734491315,-0.9363957597173145,0.0,-0.7624798756920783,337.4876625958659,5607.0,3200.0,5607.0,4.0,3538.155,129.43666219711304
96.0,48.0,104.0,1.0,55.96000000000001,0.1782689094543457,anf_n14_8,0.0,0.0,0.0,0.0,0.0,35.88967323303223,96.0,48.0,104.0,1.0,55.96000000000001,0.537165641784668
2555.0,1468.0,2555.0,4.0,1626.6750000000002,8.217947959899902,anf_n14_9,-0.3131115459882583,0.0,-0.3131115459882583,0.0,-0.031967049349145286,317.2134111038891,2547.0,1468.0,2547.0,4.0,1626.155,34.286381006240845
